TIMESTAMP,MMSI,LAT,LON,TYPE
23-Oct-2023 17:57:24,0,25.372403,121.62135,0
23-Oct-2023 18:07:43,0,25.376477,121.626922,0
23-Oct-2023 17:56:11,2,26.3115694,120.3970122,0
23-Oct-2023 17:57:07,5,24.812253,121.9292528,0
23-Oct-2023 17:52:51,12,26.369932,119.97153,0
23-Oct-2023 17:57:33,226,24.3508274,120.5214608,0
23-Oct-2023 17:57:31,227,24.350874,120.5214458,0
23-Oct-2023 17:57:14,424,25.4146822,121.4031126,0
23-Oct-2023 17:59:32,555,23.740305,119.611842,0
23-Oct-2023 17:57:26,999,25.6273766,122.0063724,0
23-Oct-2023 17:52:46,3332,25.09965675,119.48109425,0
23-Oct-2023 17:57:40,6176,25.416233,121.6931602,0
23-Oct-2023 17:57:43,8822,26.8084956,120.5196524,0
23-Oct-2023 17:56:10,9021,22.3356112,120.3755596,0
23-Oct-2023 17:57:01,9022,22.3355718,120.375417,0
23-Oct-2023 17:57:12,9023,22.3355156,120.375526,0
23-Oct-2023 17:56:51,9024,22.3355542,120.3755172,0
23-Oct-2023 17:56:38,9027,22.3355354,120.3754982,0
23-Oct-2023 17:56:56,9028,22.3355178,120.3755304,0
23-Oct-2023 17:56:53,9030,22.335504,120.3756156,0
23-Oct-2023 17:56:51,9034,22.3354964,120.37563,0
23-Oct-2023 17:56:16,9035,22.3355924,120.3756366,0
23-Oct-2023 17:59:52,30570,24.8445243333333,120.86608,0
23-Oct-2023 17:55:16,41631,23.0900044,121.8785878,0
23-Oct-2023 17:56:29,41632,23.0956272,121.8741534,0
23-Oct-2023 17:53:43,41633,23.065503,121.905507,0
23-Oct-2023 17:55:54,41634,23.0577555,121.9253165,0
23-Oct-2023 17:39:57,86826,24.81441,119.14208,0
23-Oct-2023 17:59:21,151806,22.841827,119.90886,0
23-Oct-2023 17:56:17,236304,25.0624934,119.4915524,0
23-Oct-2023 17:55:15,260011,24.2172596,120.4597286,0
23-Oct-2023 17:57:14,270001,24.2997978,118.5137796,0
23-Oct-2023 17:56:11,349902,22.3374934,120.3807364,0
23-Oct-2023 17:56:36,349906,22.3373752,120.3810322,0
23-Oct-2023 17:56:16,349909,22.33705,120.3804966,0
23-Oct-2023 17:56:46,349910,22.3373838,120.3804626,0
23-Oct-2023 17:47:00,364503,22.79148,121.192952,0
23-Oct-2023 17:55:53,400202,24.5816674,121.8659382,0
23-Oct-2023 17:52:47,418105,22.7684144,119.7071504,0
23-Oct-2023 17:53:19,418106,22.7635826,119.676991,0
23-Oct-2023 17:55:43,419201,22.7568904,121.3655484,0
23-Oct-2023 17:56:25,419202,22.749063,121.3806692,0
23-Oct-2023 17:56:51,419203,22.759116,121.3629774,0
